teamname,setups,lowpriority,delays
Oreo,44,2825,1040
Oreo,69,810,1396
Oreo,58,1380,1151
Oreo,66,1962,470
Oreo,56,1365,1213
Oreo,51,2737,732
Oreo,53,1420,1476
Oreo,64,825,1430
Oreo,53,2737,711
Oreo,73,934,1214
Oreo,60,1762,731
Oreo,61,1095,1140
Oreo,68,1376,934
Oreo,73,917,1239
Oreo,52,2470,778
Oreo,69,2302,421
Oreo,55,1174,1433
Oreo,52,1496,1333
Oreo,62,900,1356
Oreo,70,2477,326
Oreo,54,1427,1102
Oreo,42,2289,1678
Oreo,65,776,1459
Oreo,61,2864,400
Oreo,60,1549,873
Oreo,67,1895,537
Oreo,73,1413,807
Oreo,43,2755,1115
Oreo,58,1133,1370
Oreo,47,1951,1436
Oreo,52,1770,850
Oreo,73,1271,911
Oreo,68,1952,491
Oreo,56,1005,1764
Oreo,76,2403,329
Oreo,45,1768,1656
Oreo,55,2468,737
Oreo,41,2669,1193
Oreo,68,2592,325
Oreo,62,1509,814
Oreo,78,1428,756
Oreo,73,2510,302
Oreo,71,3255,102
Oreo,60,1494,945
Oreo,77,1382,883
Oreo,76,1399,834
Oreo,48,1600,1057
Oreo,63,1977,535
Oreo,69,2535,339
Oreo,62,1684,647
Oreo,54,1420,1439
Oreo,56,2496,625
Oreo,64,663,1590
Oreo,63,1985,516
Oreo,69,2439,419
Oreo,68,839,1376
Oreo,63,2881,308
Oreo,65,2582,360
Oreo,59,1577,827
Oreo,55,1595,928
Oreo,75,939,1153
Oreo,67,2599,321
Oreo,69,1882,537
Oreo,79,1301,861
Oreo,72,1080,1085
Oreo,72,1468,768
Oreo,58,2412,573
Oreo,44,2721,1098
Oreo,72,2446,354
Oreo,68,2417,420
Oreo,76,1538,749
Oreo,50,2621,834
Oreo,52,1574,1072
Oreo,69,2604,241
Oreo,78,1306,887
Oreo,47,2462,1224
Oreo,49,2685,825
Oreo,61,878,1387
Oreo,54,1641,895
Oreo,73,822,1324
Oreo,56,1559,936
Oreo,65,2752,271
Oreo,74,2448,319
Oreo,76,2826,110
Oreo,70,589,1892
Oreo,56,1035,1744
Oreo,56,1224,1358
Oreo,58,1224,1334
Oreo,46,2319,1385
Oreo,74,2508,310
Oreo,63,739,1601
Oreo,66,2522,373
Oreo,74,3255,0
Oreo,56,1162,1387
Oreo,51,1670,858
Oreo,54,1770,811
Oreo,51,2685,748
Oreo,56,1425,965
Oreo,60,1925,711
Oreo,60,1348,1078
Oreo,46,2419,1294
Oreo,42,2648,1267
Oreo,72,2630,211
Oreo,53,1111,1523
Oreo,59,2875,452
Oreo,70,2589,283
Oreo,74,982,1198
Oreo,55,1536,989
Oreo,55,1232,1330
Oreo,59,1613,811
Oreo,52,2997,715
Oreo,68,623,1920
Oreo,59,2002,653
Oreo,56,1975,738
Oreo,74,2834,83
Oreo,59,1068,1385
Oreo,67,2626,275
Oreo,47,1892,1583
Oreo,71,900,1271
Oreo,64,2488,445
Oreo,49,1587,1539
Oreo,80,1519,730
Oreo,63,1573,811
Oreo,51,1543,1472
Oreo,68,1602,694
Oreo,66,1934,555
Oreo,70,1343,889
Oreo,55,1062,1764
Oreo,52,2621,748
Oreo,48,2819,883
Oreo,44,2309,1388
Oreo,58,1794,770
Oreo,55,2579,542
Oreo,54,2719,733
Oreo,74,1182,975
Oreo,47,2935,903
Oreo,60,2409,636
Oreo,63,1676,702
Oreo,59,1775,786
Oreo,76,1166,973
Oreo,65,2626,293
Oreo,67,1942,504
Oreo,57,1142,1396
Oreo,43,2833,1069
Oreo,60,1060,1421
Oreo,61,2539,429
Oreo,61,1248,975
Oreo,60,1573,861
Oreo,63,2054,459
Oreo,43,2243,1519
Oreo,72,1021,1119
Oreo,54,1939,805
Oreo,52,1653,861
Oreo,52,1420,1510
Oreo,54,2826,665
Oreo,73,2806,143
Oreo,54,1223,1452
Oreo,78,1268,900
Oreo,65,2067,433
Oreo,57,1007,1597
Oreo,65,1882,586
Oreo,39,2405,1359
Oreo,65,2029,482
Oreo,68,1918,532
Oreo,73,3255,32
Oreo,67,2995,206
Oreo,64,1581,808
Oreo,64,1668,730
Oreo,44,2187,1557
Oreo,41,2321,1402
Oreo,58,990,1446
Oreo,67,649,1500
Oreo,62,1889,578
Oreo,43,2725,1117
Oreo,72,2823,151
Oreo,53,1496,1252
Oreo,54,2798,700
Oreo,72,876,1336
Oreo,44,2238,1537
Oreo,62,2526,389
Oreo,66,1740,558
Oreo,68,2485,393
Oreo,60,895,1485
Oreo,61,1966,606
Oreo,72,2619,224
Oreo,47,2532,1107
Oreo,72,761,1337
Oreo,62,1089,1262
Oreo,65,1076,1186
Oreo,56,2523,597
Oreo,43,2309,1391
Oreo,60,1148,1258
Oreo,47,2837,949
Oreo,64,2497,430
Oreo,79,1246,885
Oreo,46,2686,1025
Oreo,56,1244,1326
Oreo,61,915,1267
Oreo,59,1348,1135
Oreo,50,2922,784
Oreo,61,1627,793
Oreo,61,2018,542
Oreo,64,1646,734
Oreo,54,2538,736
Oreo,48,1636,906
Oreo,63,1186,1018
Oreo,56,1071,1478
Oreo,54,1574,1012
Oreo,56,2479,717
Oreo,70,2033,433
Oreo,80,1384,833
Oreo,68,2647,156
Oreo,72,939,1247
Oreo,51,2651,782
Oreo,54,1207,1520
Oreo,44,2262,1509
Oreo,44,1834,1765
Oreo,43,2757,1070
Oreo,56,2871,505
Oreo,61,2881,344
Oreo,58,1214,1366
Oreo,76,1311,887
Oreo,45,1960,1406
Oreo,63,878,1380
Oreo,60,1764,724
Oreo,56,1723,798
