teamname,setups,lowpriority,delays
Oreo,56,174,1401
Oreo,59,1670,540
Oreo,57,353,1146
Oreo,32,2097,1235
Oreo,53,211,1533
Oreo,63,1240,731
Oreo,52,342,1394
Oreo,53,443,1157
Oreo,45,843,1142
Oreo,54,1782,636
Oreo,62,1285,678
Oreo,59,2347,450
Oreo,41,2955,916
Oreo,64,2112,369
Oreo,47,1145,854
Oreo,53,1395,731
Oreo,50,406,1438
Oreo,35,1895,1354
Oreo,59,1543,641
Oreo,62,1521,550
Oreo,29,2339,1529
Oreo,56,2381,456
Oreo,56,1810,580
Oreo,58,2213,474
Oreo,47,1529,793
Oreo,58,1620,612
Oreo,55,53,1671
Oreo,59,808,869
Oreo,58,1702,558
Oreo,59,1676,496
Oreo,70,1552,510
Oreo,65,2056,373
Oreo,62,1490,555
Oreo,56,220,1233
Oreo,66,2526,166
Oreo,55,1628,655
Oreo,52,961,841
Oreo,49,453,1175
Oreo,60,236,1048
Oreo,46,1052,913
Oreo,61,2231,449
Oreo,54,2633,514
Oreo,70,2149,264
Oreo,54,342,1371
Oreo,36,2046,1232
Oreo,68,217,1059
Oreo,71,2626,156
Oreo,63,1307,676
Oreo,69,1583,493
Oreo,73,2678,147
Oreo,62,409,914
Oreo,71,57,1134
Oreo,47,490,1181
Oreo,53,1192,739
Oreo,69,2494,209
Oreo,33,2009,1519
Oreo,56,238,1204
Oreo,36,2124,1208
Oreo,63,1490,523
Oreo,56,358,1099
Oreo,54,2343,564
Oreo,61,21,1340
Oreo,69,177,1136
Oreo,62,1330,657
Oreo,51,903,1059
Oreo,51,1067,791
Oreo,43,918,1015
Oreo,64,1292,669
Oreo,53,222,1508
Oreo,54,2192,602
Oreo,56,422,1078
Oreo,54,609,1028
Oreo,56,47,1638
Oreo,42,2955,857
Oreo,53,1976,619
Oreo,60,2764,379
Oreo,48,1194,743
Oreo,63,2326,299
Oreo,59,1620,601
Oreo,43,1115,883
Oreo,44,843,1292
Oreo,72,2754,115
Oreo,41,1000,1017
Oreo,39,2434,1115
Oreo,64,2502,272
Oreo,70,2818,127
Oreo,67,2452,244
Oreo,66,2504,200
Oreo,46,1427,859
Oreo,60,705,929
Oreo,60,2837,312
Oreo,30,2358,1495
Oreo,61,1423,625
Oreo,54,2397,515
Oreo,63,1224,738
Oreo,55,2336,525
Oreo,50,2569,658
Oreo,42,992,1023
Oreo,42,1123,958
Oreo,46,1623,704
Oreo,64,3255,176
Oreo,34,2016,1255
Oreo,59,142,1234
Oreo,74,3255,0
Oreo,74,131,1049
Oreo,65,1259,686
Oreo,54,1431,703
Oreo,57,2418,408
Oreo,46,1068,879
Oreo,52,374,1167
Oreo,50,952,937
Oreo,45,1231,865
Oreo,52,967,823
Oreo,54,3255,479
Oreo,45,1052,970
Oreo,45,649,1625
Oreo,46,1565,793
Oreo,68,2786,137
Oreo,58,66,1380
Oreo,57,1733,585
Oreo,65,2526,250
Oreo,55,2343,487
Oreo,65,1285,606
Oreo,70,148,1070
Oreo,54,222,1481
Oreo,74,2745,89
Oreo,63,1408,610
Oreo,58,471,998
Oreo,71,3229,90
Oreo,56,2405,440
Oreo,57,1960,532
Oreo,68,1728,488
Oreo,71,2800,100
Oreo,56,207,1375
Oreo,57,199,1323
Oreo,35,1132,1483
Oreo,32,2032,1345
Oreo,53,64,1767
Oreo,71,17,1267
Oreo,74,93,1081
Oreo,56,272,1165
Oreo,57,13,1501
Oreo,60,1521,636
Oreo,58,1776,546
Oreo,68,2832,101
Oreo,57,215,1270
Oreo,68,2631,154
Oreo,28,2376,1686
Oreo,57,421,1056
Oreo,49,2332,679
Oreo,59,408,1019
Oreo,52,2421,603
Oreo,57,2122,531
Oreo,71,3255,49
Oreo,64,1202,732
Oreo,34,1243,1534
Oreo,51,440,1331
Oreo,61,0,1685
Oreo,33,1985,1595
Oreo,47,1046,939
Oreo,62,1246,702
Oreo,78,0,1257
Oreo,49,1004,841
Oreo,77,0,1302
Oreo,60,2426,400
Oreo,55,1377,729
Oreo,75,3252,29
Oreo,52,903,887
Oreo,70,0,1341
Oreo,59,2154,488
Oreo,51,460,1138
Oreo,73,3255,32
Oreo,45,1503,802
Oreo,37,2413,1134
Oreo,62,87,1300
Oreo,54,344,1288
Oreo,60,409,940
Oreo,61,1330,729
Oreo,61,1570,549
Oreo,66,2492,249
Oreo,53,528,1042
Oreo,55,252,1277
Oreo,54,87,1677
Oreo,41,790,1659
Oreo,58,322,1074
Oreo,35,1239,1432
Oreo,35,2083,1253
Oreo,58,677,980
Oreo,53,1550,719
Oreo,49,1181,790
Oreo,38,2080,1125
Oreo,51,896,1080
Oreo,27,2384,1655
Oreo,57,66,1471
Oreo,57,322,1155
Oreo,62,2224,349
Oreo,54,348,1256
Oreo,61,1530,607
Oreo,62,0,1649
Oreo,47,962,1000
Oreo,55,358,1101
Oreo,50,2298,703
Oreo,42,1248,875
Oreo,47,1004,969
Oreo,52,1435,727
Oreo,51,1119,765
Oreo,55,272,1233
Oreo,60,1297,730
Oreo,56,1573,670
Oreo,70,2782,147
Oreo,38,1096,1315
Oreo,71,121,1116
Oreo,71,216,1023
Oreo,60,1595,530
Oreo,31,2097,1299
Oreo,73,158,989
Oreo,50,941,1004
Oreo,63,1319,662
Oreo,37,1823,1266
Oreo,55,1976,576
Oreo,46,649,1506
Oreo,36,1895,1301
Oreo,41,987,1206
Oreo,46,825,1178
Oreo,47,1605,728
Oreo,65,2068,266
Oreo,69,2516,192
Oreo,58,178,1327
Oreo,51,2369,657
Oreo,68,150,1178
Oreo,74,2760,83
Oreo,64,2446,287
Oreo,51,843,1090
Oreo,34,1247,1518
Oreo,77,42,1256
Oreo,37,2352,1151
Oreo,28,2384,1497
Oreo,64,202,1071
Oreo,54,186,1659
Oreo,38,2449,1079
Oreo,39,1297,1168
Oreo,37,1178,1308
Oreo,45,1063,910
Oreo,52,281,1460
Oreo,54,50,1720
Oreo,66,1094,737
Oreo,52,85,1763
Oreo,52,781,1136
Oreo,65,176,1208
Oreo,56,1621,616
Oreo,63,2607,281
Oreo,59,1318,738
